"Teri Hohabbat Ki Esitesi Gangstar Song "
"Naya Sal Me Ragad Dijiye"
"UP62 Jila Jaunpur Zestfilm Sound Pvt Ltd"
"Mai Re Mai (Features Artist Kishan Nagina & Riya ) Zestfilm Sound Private Limited "
"Janmdin Pawer Star Ke Zestfilm Sound Pvt Ltd "
"Satguru Ravidass Dham Boota Mandi"
"Bhargo Balam Tere Pive Te Mero"
"Banda Jila Me Khilal Hamar Namva Zestfilm Sound Pvt Ltd "
"Raja Shardi lage kap rahi Chhatiya "
"Tharo So Stole Chhori Mhar Heto"
"O Darsan Dijyo Bala Dev Ji"
"Darsan De Re De"
"Padba Ko Kar Naam"
"Gori Tere Lugda Mein Moy Dubaile"
"Chahe Karle Jatan Hajar"
"Naye Sal Me Do Ek Chumma Zestfilm Sound Pvt Ltd "
"Teri Rani Femas Insta Pe"
"Chhore Dekhke Sheeti Mare"
"Ek Dina Ki Teri Mohabbat"
"Kanha Ko Janmdin Aayo Hai "
"Bhabhi Chhalle Dar"
"Teri mohabbat ki esitesi gangstar song "
"Dekhle najar bharke dekhle "
"Anil Bhai Ki Bhayi Sagai"
"Me Desi Chhora Gaman Ko"
"Jila Murena ke Chhora ko"
"Sautan 3 are bawadi"
"Hamaro Jile Morena Me nam"
"Ek Khas Jan Dukh De Gayi Re"
"Kot kacheri thano"
"Mat Dhook Hase Hur Pari"
"Driver se vivah karaye meri mummy "
"Piya Hamari sunale Batari Sonothiya Enterprises "
"Aagara me dekhi jabase Sonothiya Enterprises "
"Tu Shahar Aagara jaiyo Sonothiya Enterprises "
"Shahar Aagara Ghuman aayi Sonothiya Enterprises "
"Dil Tuto Pahli Baar"
"Ham Up Ke Shooter "
"Babu Mile londiyabaj"
"Kese Kate Jadkaro"
"Kismatiye (Qishmatiye) Ke Dosh Naeikhe Sujeet Tiwari Zestfilm Sound Private Limited "
