"Teri Hohabbat Ki Esitesi Gangstar Song ",,folk,,,,,,
"Naya Sal Me Ragad Dijiye",,bollywood,,,,,,
"UP62 Jila Jaunpur Zestfilm Sound Pvt Ltd",,bollywood,,,,,,
"Mai Re Mai (Features Artist Kishan Nagina & Riya ) Zestfilm Sound Private Limited ",,classical,,,,,,
"Janmdin Pawer Star Ke Zestfilm Sound Pvt Ltd ",,bollywood,,,,,,
"Satguru Ravidass Dham Boota Mandi",,devotional,,,,,,
"Bhargo Balam Tere Pive Te Mero",,folk,,,,,,
"Banda Jila Me Khilal Hamar Namva Zestfilm Sound Pvt Ltd ",,bollywood,,,,,,
"Raja Shardi lage kap rahi Chhatiya ",,pop,,,,,,
"Tharo So Stole Chhori Mhar Heto",,pop,,,,,,
"O Darsan Dijyo Bala Dev Ji",,pop,,,,,,
"Darsan De Re De",,pop,,,,,,
"Padba Ko Kar Naam",,pop,,,,,,
"Gori Tere Lugda Mein Moy Dubaile",,pop,,,,,,
"Chahe Karle Jatan Hajar",,pop,,,,,,
"Naye Sal Me Do Ek Chumma Zestfilm Sound Pvt Ltd ",,bollywood,,,,,,
"Teri Rani Femas Insta Pe",,pop,,,,,,
"Chhore Dekhke Sheeti Mare",,pop,,,,,,
"Ek Dina Ki Teri Mohabbat",,pop,,,,,,
"Kanha Ko Janmdin Aayo Hai ",,pop,,,,,,
"Bhabhi Chhalle Dar",,pop,,,,,,
"Teri mohabbat ki esitesi gangstar song ",,folk,,,,,,
"Dekhle najar bharke dekhle ",,folk,,,,,,
"Anil Bhai Ki Bhayi Sagai",,pop,,,,,,
"Me Desi Chhora Gaman Ko",,pop,,,,,,
"Jila Murena ke Chhora ko",,pop,,,,,,
"Sautan 3 are bawadi",,bollywood,,,,,,
"Hamaro Jile Morena Me nam",,pop,,,,,,
"Ek Khas Jan Dukh De Gayi Re",,pop,,,,,,
"Kot kacheri thano",,pop,,,,,,
"Mat Dhook Hase Hur Pari",,pop,,,,,,
"Driver se vivah karaye meri mummy ",,pop,,,,,,
"Piya Hamari sunale Batari Sonothiya Enterprises ",,pop,,,,,,
"Aagara me dekhi jabase Sonothiya Enterprises ",,pop,,,,,,
"Tu Shahar Aagara jaiyo Sonothiya Enterprises ",,pop,,,,,,
"Shahar Aagara Ghuman aayi Sonothiya Enterprises ",,pop,,,,,,
"Dil Tuto Pahli Baar",,folk,,,,,,
"Ham Up Ke Shooter ",,folk,,,,,,
"Babu Mile londiyabaj",,indian,,,,,,
"Kese Kate Jadkaro",,indian,,,,,,
"Kismatiye (Qishmatiye) Ke Dosh Naeikhe Sujeet Tiwari Zestfilm Sound Private Limited ",,bollywood,,,,,,
