"Album Title","Song title","Primary artist",Featuring,Authors,Composer,Producer,"Singer Instagram Handle","Label Name","Lyrics Languages","Music Genre","Music Sub-Genre","Music Mood","Release date","All Music Streaming Store","YouTube Music","YouTube Content ID",Explicit,"Caller Tune","Caller Tune Name","Caller Tune Duration","Ask to generate an ISRC","ISRC Code",UPC/EAN,"Catalogue number","Upload Cover","Upload Song",Status
"Teri mohabbat ki esitesi gangstar song ","Teri mohabbat ki esitesi gangstar song ","Singer Sonu Dholpur ","Singer Sonu Dholpur ","Shivani studio bari","Shivani studio bari","Rl fauji and manish fauji",https://www.instagram.com/invites/contact/?igsh=18c8tqh22boaq&utm_content=rd6wm9n,"[First Call Distribution India] Singer Sonu Dholpur",hindi,Folk,Rajasthani,Sad,2025-01-06,Yes,Yes,Yes,Yes,Yes,"Teri mohabbat ki esitesi gangstar song",45,Yes,,No,No,uploads/cover_photos/01JGR9EKM38Y543YJGWHZD7GFR.jpg,uploads/songs/01JGR9EKS332ZGFSZ2EC95GQ3X.mp3,Pending
"Dekhle najar bharke dekhle ","Dekhle najar bharke dekhle ","Singer Sonu Dholpur ","Singer Sonu Dholpur ","Shivani studio bari","Shivani studio bari","Rl fauji and manish fauji",https://www.instagram.com/invites/contact/?igsh=18c8tqh22boaq&utm_content=rd6wm9n,"[First Call Distribution India] Singer Sonu Dholpur",hindi,Folk,Rajasthani,Sad,2025-01-07,Yes,Yes,Yes,Yes,Yes,"Dekhle naraj bharke dekhle",41,Yes,,No,No,uploads/cover_photos/01JGRAMXYD86ME5F209TN03RE5.jpg,uploads/songs/01JGRAMYCAAEH9AZSXGG36W0K0.mp3,Pending
"Anil Bhai Ki Bhayi Sagai","Anil Bhai Ki Bhayi Sagai ","Singer Sultan kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-04,Yes,Yes,Yes,No,Yes,"K.K nibhayo 6 sal ko pyar, Jodi Tumhari Amar rahe, Dost Yar sab debe Badhai, He Heer Ranjhe Jesi Tumhari Jodi","00:01:12, 00:02:10, 00:03:06, 00:04:22",Yes,,,,uploads/cover_photos/01JGS23HSK1CPD3CY14TAAVP5E.jpg,uploads/songs/01JGS23JG25X3QJYM3A0WC062R.mp3,Pending
"Me Desi Chhora Gaman Ko","Me Desi Chhora Gaman Ko ","Singer Dharmendra Kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-04,Yes,Yes,Yes,No,Yes,"Me Desi Chhora Gaman Ko",00:00:20,Yes,,,,uploads/cover_photos/01JGS2KZHB7EJJ5ZAGKBC4XWT7.jpg,uploads/songs/01JGS2M02214MGZGMMT8RYY4ET.wav,Pending
"Jila Murena ke Chhora ko","Jila Murena ke Chhora ko ","Singer Lalu Bhai , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-04,Yes,Yes,Yes,No,Yes,"Jila Murena ke Chhora ko",00:00:20,Yes,,,,uploads/cover_photos/01JGS32VE5GCYRNKDB30XVYTHQ.jpg,uploads/songs/01JGS32VJAHZ38NCAJJGCN3CEP.wav,Pending
"Sautan 3 are bawadi","Sautan 3 are bawadi ","Singer Shri Bhagwan Baghel ","Singer Shri Bhagwan Baghel ","Narendra Nishad","Banti Rajasthani","Kalyan bhai",https://www.instagram.com/singer_shribhagwan_baghel/profilecard/?igsh=bXhiZ3Q0NTQ0NHkz,"Brothers Music",hindi,Bollywood,"Bollywood Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,1,uploads/cover_photos/01JGTB0JCCQHT892K45ZPDY9PY.jpg,uploads/songs/01JGTB0JQK3M60EA9ZYW8SQ988.mp3,Pending
"Hamaro Jile Morena Me nam","Hamaro Jila Morena Me nam ","Singer Vipin Pandey , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-05,Yes,Yes,Yes,No,Yes,"Hamaro Jila Morena Me nam",00:00:30,Yes,,,,uploads/cover_photos/01JGTCFERWJ74ZQ9ZPMBKNG4WD.jpg,uploads/songs/01JGTCFEW4BP8J5BPHQ16T0ACF.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Ek Khas Jan Dukh De Gayi Re ","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTET504GK3VH25A9F740ACJ.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Chhallo Teri sut ","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTET79M9J1B3DKNFRG3Y9A0.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Lut gayi piya rat haveli","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETAFMBTPTNXVH8YPJCWF2.mp3,Pending
