"Na layo laguriya na layo laguriya kajar bendi layo laguriya ","Brajkishor Kushwah ","Jitendra rajput","Brajkishor kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-12-27,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311278,01JG14KYSX4CMNPMMY4Y8JBVXB.jpg,01JG14KYYBE4736RNK04PBQZ4K.mp3
"Rasiyan lavege joganiya rasiyan lavege joganiya Kishor tiger","Brajkishor Kushwah ","Jitendra rajput","Brajkishor kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-12-27,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311279,01JG14VXHZBE2D7B4GQ3TEWFFS.jpg,01JG14VXKHJMQ3E488HTXD5CP9.mp3
"chaira gelam matir prithibi ","Ismail SK ","Ismile SK","Raul Raj","Ismile SK","Jhankar Studio Upload Music ",skiskail24,2024-12-27,bengali,world_music,world,sad,Yes,Yes,Yes,No,"(chaira gelam matir prithibi : 20), ( : 30), ( : 40), ( : 50)",INF512311280,01JG1SFH6DJ7YGC2VVPYDPTS7B.jpg,01JG1SFH6FVMQGX3WFJ5MWRHDN.wav
"Pakad chutiya de Mari re","Sachin gurjar thana","Manish mawai","Rahul marshal","Rahul marshal","[Marshal Music Company] Karishma Music HD",https://www.instagram.com/singer_sachin_gurjar_official?igsh=azZlMjV5cjN1bDhv,2024-12-26,rajasthani,pop,pop_rock,happy,Yes,Yes,Yes,No,No,INF512311281,01JG1VF4WS1FM0BCJSQX0FYW0H.jpg,01JG1VF5736WP55TM9TET62R0H.wav
"Meri bhi sagai ao babu mero Vivah bhi jaldi hovego","Singer Shri Bhagwan Baghel ","Kaliyan risky","Banti Rajasthani","Amar mastana","Brothers Music",https://www.instagram.com/singer_shribhagwan_baghel/profilecard/?igsh=bXhiZ3Q0NTQ0NHkz,2024-12-27,hindi,indian,indie,sad,Yes,Yes,Yes,Yes,"(Dil fut fut ke robe go : Shri Bhagwan baghel)",INF512311282,01JG2YPPMSA9PV7Y0DD1C0TDWG.jpg,01JG2YPPYPH812QXXY68HFD3W0.mp3
"Itana Dard Jhute Pyar Me Hoi","Satyendra sargam ","Itana Dard Jhute Pyar Me Hoi","Satyendra sargam","Satyendra sargam","Singer Satendra Sargam",singar_satyendra_sargam,2024-12-27,hindi,folk,bollywood_folk,sad,Yes,Yes,Yes,Yes,"(:24 : :24)","Itana Dard Jhute Pyar Me Hoi",01JG3GF2TAHY8BTGRX5EDQWDV9.jpg,01JG3GF2V4X4RDV7VBT4VGQNC7.mp3
"Naya Sal Mani Lakhaniya Dari","Satish Sawariya ","Rajkumar Bhojpuriya","Ashish Bau","Rajkumar Bhojpuriya","ZestFilm Sound Private Limited",zestfilmsound,2024-12-28,hindi,classical,bollywood_classical,happy,Yes,Yes,Yes,No,"(Naya Sal Mani Lakhaniya Dari : 00.12)",INF512500004,01JG6DSM941ZJP2NS7MSMFJTT5.jpg,01JG6DSN2Q4YN3G34SM6AAY3DX.wav
