"TERA BHAI AA GAYA",Alag,Alag,Alag,Alag,"Alag Music",https://www.instagram.com/alagmusic/profilecard/?igsh=NTV1bWs2Nm1pdHps,2024-12-12,hindi,hip_hop,hip-hop,energetic,Yes,Yes,Yes,Yes,"(Tera Bhai Aa Gaya : 0:18 to 1:18)",INF512311147,01JERZA3M0KTVH4SGA49PJKT8M.jpg,01JERZA3T9WZ8C3KBKX7EVE0ZW.mp3
"SAKAL DEKHA JAA BERI",,"K .k . Jaan","Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311148,01JEW80XF3H81YW3Q4BVERDY5Y.jpg,01JEW80XTRD89GE3R6NTJP0KNK.mp3
"LADAY MAT BALAM ",,"Krishna Jediya","Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311149,01JEWD8M5WTNWBP6D98Z4QNHZ4.jpg,01JEWD8N2F6WPZM5MXQFCRTAEY.mp3
"SEESA M SAKAL DEKHE ",,"Krishna Jediya","Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311150,01JEWDMVAA3G4QX5N6W2PS96ED.jpg,01JEWDMVFF17BE7TKHP2R7Z9NZ.mp3
"SEENE PE CHOT ",,"Krishna Jediya","Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311151,01JEWDW5FZYK90MAMWQEZ5NRD9.jpg,01JEWDW5G0WW7J8RZB5WZBTW03.mp3
"GORI H RAHI CHATAK JAVAN ",,"Krishna Jediya","Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311152,01JEWE97RWKR31JS7GYZBPX55J.jpg,01JEWE97RXXZ44JY1XG07RHT17.mp3
"PANI TE HICHKI NAYE DATEY",,"Krishna Jediya","Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311153,01JEWF2R7C6ED2XYTHP3Z3M4C6.jpg,01JEWF2R7DFYWXZKQARY4PFZKG.mp3
"cobra lagave sent jukam tere yaar","Sachin gurjar thana",Promod,"Rahul marshal","Rahul marshal","[Marshal Music Company] Karishma Music HD",https://www.instagram.com/singer_sachin_gurjar_official?igsh=azZlMjV5cjN1bDhv,2024-12-12,rajasthani,pop,pop_rock,happy,Yes,Yes,Yes,No,No,INF512311182,01JEXMC8033RD7M5EV3BJ66B3V.jpg,01JEXMC8Q18447TW21R4A3WHXG.wav
"Duggu Happy Birthday","Rakesh Peeplipara","Rakesh Peeplipara","Rakesh Peeplipara","Rakesh Peeplipara","Ashok Ladli Ka Bas",https://www.instagram.com/rakeshpeeplipara?igsh=bHNxOTYwemhxOTBr,2024-12-12,rajasthani,pop,world,romantic,Yes,Yes,No,No,No,INF512311183,01JEXMDR9VTREMTYY2XMRPYN43.jpg,01JEXMDSAGN4K87RX22VTKKFC0.mp3
"Are Love Kon Karu Pyar Karu To Mai Hi Maru","Rakesh Peeplipara","Rakesh Peeplipara","Rakesh Peeplipara","Rakesh Peeplipara","Ashok Ladli Ka Bas",https://www.instagram.com/rakeshpeeplipara?igsh=bHNxOTYwemhxOTBr,2024-12-12,rajasthani,pop,romantic,romantic,Yes,Yes,No,No,No,INF512311184,01JEXMRASPBWFA04T1S0MQR7MK.jpg,01JEXMRBRF1GQR3RDB47D9TSE9.mp3
