"Love Ko Rog Ch Thar","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas",ashokladlikabas,2024-11-10,rajasthani,pop,world,romantic,Yes,Yes,Yes,No,No,INF512310938,01JCB6KJKBMFJ24QAKMP1Z8CDQ.jpg,01JCB6KJKC8Y4PE9QNSP0K79M4.mp3
"Badal Gi Byu K Paach","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas","Ashok Ladli Ka Bas",ashokladlikabas,2024-11-10,rajasthani,pop,world,romantic,Yes,Yes,Yes,No,No,INF512310939,01JCB6RMBRW8V0BCGZZTPDDHZH.jpg,01JCB6RMBTPYYY6N89A3DA7GGQ.mp3
"Byaah Se Jatav Ka","Ravi Dadri, Gaurav Singh Modinagar","Sagar hindustani","Sumit Hapur","Gaurav Jeetgadhiwala","KS Music Studio",https://www.instagram.com/ravi_dadri_official/profilecard/?igsh=MWNtd2dzeG1qYjFobQ%3D%3D,2024-11-11,haryanvi,classical,haryanvi,happy,Yes,Yes,Yes,Yes,"(Fad Sad bhi : 00:09), (Barse Itna Pital : 00:25), (Byaah Se Jatav Ka : 00:35), (Aama Gunda Barat Me : 00:53), (Is Chora Ka Gala Me Mala : 01:09), (Ya Lama Bal Bala : 01:37), (DJ Upper : 01:53), (Ravi Dadri : 02:21), (Gaurav Singh Modinager : 02:37)",INF512310909,01JCBW225HJ0C58523S515W3ZT.jpg,01JCBW226EEWF1K24FF0T0AYQR.wav
"Doli Chad Gailu Kahe","Satya ","Krishna kohinoor","Ashish Babu","Rajnish Raaza","ZestFilm Sound Private Limited",zestfilmsound,2024-11-11,hindi,hip_hop,bollywood_hiphop,sad,Yes,Yes,Yes,No,"(Doli chad gailoo kahe : 00:00:0)",INF512310919,01JCCS644BJJ0V0R77A2ZQF0H0.jpg,01JCCS644ES1KZAFAYVQVXP82Q.mp3
"Raja Dj Upar Nach Dikhau Kaise Brajkishor Kushwah ","Brajkishor Kushwah ","Jitendra rajput","Brajkishor Kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-11-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512310920,01JCCXM4ES5BDD6DRKWYV7BBBV.jpg,01JCCXM4EWERQH3HBHP1T4Y9SK.mp3
"Chori tu to lage kamal ko so ful sakal teri lag rhi h piyari bachu","Brajkishor Kushwah ","Jitendra rajput","Brajkishor Kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-11-12,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512310921,01JCCYK4EJJSGFGZDZRMCFZRGG.jpg,01JCCYK4ENDA6AE4Y96R45Q9T6.mp3
"Bhumiya Baba Ka Bhajan","Singer Pappu Kushwah ","Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-11-11,hindi,pop,indie_pop,happy,Yes,Yes,Yes,No,"(Golu kushwah likh raho gano : 00:04:49)",INF512310940,01JCD9CP3SF9RKA1K5XKJYG5A5.jpg,01JCD9CP3WP1XSHYAXW16K47AS.mp3
"Aya Nh To Love Marriage Kar Lyungo","Rakesh Gujjar","Rakesh Gujjar","Rakesh Gujjar","Rakesh Gujjar","Ashok Ladli Ka Bas",singer_rakesh_devra68,2024-11-11,rajasthani,pop,world,romantic,Yes,Yes,No,No,No,INF512310941,01JCDAVZ20MBRR9M5H52ACG7Z6.jpg,01JCDAVZ224N19GDR7WQD6NV3W.mp3
"Chhel Koi Kuaare Se Dholpur Vare Se Devendra Rajsthani","Brajkishor Kushwah ","Jitendra rajput","Brajkishor Kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-11-13,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512310942,01JCF8B1TQQHHHCAZ50F4NKEEM.jpg,01JCF8B1V2XYC3ZZ15EMWH19QT.mp3
"Babu Babu Kahati Thi","Satyendra sargam ","Babu Babu Kahati Thi","Satyendra sargam","Satyendra sargam","Singer Satendra Sargam",singar_satyendra_sargam,2024-11-12,hindi,folk,bollywood_folk,sad,Yes,Yes,Yes,Yes,"(:24 : :24)",INF512310943,01JCFDGB20HBPCJAD9ZX343412.jpg,01JCFDGB23N22KFXE4D4R7VXFG.mp3
"Chori Karegi Dil Pe Raj","Singer Narendra Nishad ","Harendra Kumar","Sonu Nishad",Ramratan,"HSV Music Rasiya",https://www.instagram.com/singer_narendra_nishad/profilecard/?igsh=bmJ4MGE1bThzeWgx,2024-11-12,hindi,indian,hindustani,sad,Yes,Yes,Yes,Yes,"(Chori karegi Dil pe Raj : Love song)",INF512310944,01JCFP03ZSA0KTYZ8NW63A2M21.jpg,01JCFP03ZXFZH66494HY80NWB0.wav
